,0
0,0.06374322208537973
1,0.05512578330887638
2,0.05283225351506349
3,0.0515313360984667
4,0.05078047792135841
5,0.04925645317366435
6,0.049794457457998924
7,0.0480107686253444
8,0.048243655619235146
9,0.04596568730440674
10,0.04690957391553366
11,0.044611051931413216
12,0.04559971910375239
13,0.04356590018754492
14,0.0442845591758505
15,0.04212046953611644
16,0.04361082405123233
17,0.04087905774118801
18,0.042287159560111705
19,0.0400258874459077
20,0.04141249681810014
21,0.03891561203843735
22,0.04062670208245987
23,0.03791380490648958
24,0.03940835613694897
25,0.03722028234214033
26,0.038984754020424055
27,0.03632374111407673
28,0.03802112676221101
29,0.03528071258647281
